"Table 379-0030 Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), provinces and territories, annual (dollars x 1,000,000)(1,2,60,63,64)",,,,,,,
Survey or program details:,,,,,,,
Gross Domestic Product by Industry - Provincial and Territorial (Annual) - 1303,,,,,,,
Geography,Value,North American Industry Classification System (NAICS),2013,2014,2015,2016,2017
Nova Scotia,Chained (2007) dollars,Paper manufacturing [322],162.3,167.4,162.3,147,149.4
Nova Scotia,Chained (2007) dollars,Printing and related support activities [323],42.6,39.9,38.7,41.7,36.9
Nova Scotia,Chained (2007) dollars,Petroleum and coal product manufacturing [324],158.1,6,6.1,5.3,6.9
Nova Scotia,Chained (2007) dollars,Chemical manufacturing [325],85.3,87.6,77.1,84.9,103.1
Nova Scotia,Chained (2007) dollars,Plastics and rubber products manufacturing [326],475.6,498.8,497.9,495.4,539.8
Nova Scotia,Chained (2007) dollars,Non-metallic mineral product manufacturing [327],61.3,64,62,64.6,67.5
Nova Scotia,Chained (2007) dollars,Primary metal manufacturing [331],6.4,1.6,1.6,1.8,2.4
Nova Scotia,Chained (2007) dollars,Fabricated metal product manufacturing [332],152.6,166.5,156,152.5,144
Nova Scotia,Chained (2007) dollars,Machinery manufacturing [333],105.1,106.5,110.4,108.8,93.8
Nova Scotia,Chained (2007) dollars,Computer and electronic product manufacturing [334],75.9,73.3,67,71.3,71.1
Nova Scotia,Chained (2007) dollars,"Electrical equipment, appliance and component manufacturing [335]",26.2,23.7,20.9,20.9,22.1
Nova Scotia,Chained (2007) dollars,Transportation equipment manufacturing [336],399,398.7,455.4,505.3,541.8
Nova Scotia,Chained (2007) dollars,Furniture and related product manufacturing [337],21.5,20.7,18.7,19.9,18.7
Nova Scotia,Chained (2007) dollars,Miscellaneous manufacturing [339],26.1,29.6,28.7,31.4,30.1
Nova Scotia,Chained (2007) dollars,Farm product wholesaler-distributors [411],6.2,5.1,6.4,5.4,5.1
Nova Scotia,Chained (2007) dollars,Petroleum product wholesaler-distributors [412],73,81.8,98.6,92.8,95.3
