"Table 379-0030 Gross domestic product (GDP) at basic prices, by North American Industry Classification System (NAICS), provinces and territories, annual (dollars x 1,000,000)(1,2,60,63,64)",,,,,,,
Survey or program details:,,,,,,,
Gross Domestic Product by Industry - Provincial and Territorial (Annual) - 1303,,,,,,,
Geography,Value,North American Industry Classification System (NAICS),2013,2014,2015,2016,2017
Saskatchewan,Chained (2007) dollars,Building material and garden equipment and supplies dealers [444],201.9,192,203.3,189.1,185.5
Saskatchewan,Chained (2007) dollars,Food and beverage stores [445],565.2,500.8,498.9,506.4,499.8
Saskatchewan,Chained (2007) dollars,Health and personal care stores [446],239.5,249.7,250.2,276.5,289.9
Saskatchewan,Chained (2007) dollars,Gasoline stations [447],273.2,276.9,261.3,267,262.8
Saskatchewan,Chained (2007) dollars,Clothing and clothing accessories stores [448],162.4,168,167.8,164,165.5
Saskatchewan,Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",87.1,85.6,87,95.4,89
Saskatchewan,Chained (2007) dollars,General merchandise stores [452],348.6,352.6,348.1,333.1,337.4
Saskatchewan,Chained (2007) dollars,Miscellaneous store retailers [453],109.1,104.7,101,112.9,99
Saskatchewan,Chained (2007) dollars,Non-store retailers [454],119.9,124.7,128.5,124.9,123.7
Saskatchewan,Chained (2007) dollars,Air transportation [481],47.7,55.8,59.8,63.2,65.5
Saskatchewan,Chained (2007) dollars,Rail transportation [482],493.4,540.7,532.7,508.5,556.4
Saskatchewan,Chained (2007) dollars,Water transportation [483],2.9,3,2.7,2.4,2.5
Saskatchewan,Chained (2007) dollars,Truck transportation [484],908,967.3,944.3,954.5,991
Saskatchewan,Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",83.5,86.5,83.8,84.2,86.8
Saskatchewan,Chained (2007) dollars,Support activities for transportation [488],172.3,188.7,186.4,191.2,203.7
Saskatchewan,Chained (2007) dollars,Pipeline transportation [486],691.9,714.9,764.5,788.2,833.4
Saskatchewan,Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",147.3,143.7,139.4,135.4,134
Saskatchewan,Chained (2007) dollars,Warehousing and storage [493],180.6,182.1,165.4,151.3,147.1
Saskatchewan,Chained (2007) dollars,Publishing industries (except internet) [511],106.7,104.1,94.2,90.6,84
Saskatchewan,Chained (2007) dollars,Motion picture and sound recording industries [512],20.7,21.3,20.4,19.5,19
Saskatchewan,Chained (2007) dollars,Broadcasting (except internet) [515],83,77.1,77,78.2,73.1
Saskatchewan,Chained (2007) dollars,Telecommunications [517],884.2,902.1,903.5,907.9,914.2
Saskatchewan,Chained (2007) dollars,"Data processing, hosting, and related services [518]",7.5,7.8,7.1,7,7.6
Saskatchewan,Chained (2007) dollars,Other information services [519],24.5,23.8,25.5,24.2,24
Saskatchewan,Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),1190.5,1209.3,1262.8,1302.3,1328
Saskatchewan,Chained (2007) dollars,Non-depository credit intermediation [5222],214.7,206.5,227.4,248.1,260
Saskatchewan,Chained (2007) dollars,Activities related to credit intermediation [5223],33.3,33.3,33.6,31.9,26.1
Saskatchewan,Chained (2007) dollars,Insurance carriers and related activities [524],564.8,555.6,567.1,580.6,594.9
Saskatchewan,Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",263.5,287.5,301,308.5,322
Saskatchewan,Chained (2007) dollars,Real estate [531],5097.9,5222.8,5409.1,5571.8,5739.8
Saskatchewan,Chained (2007) dollars,Rental and leasing services [532],307.7,347.7,354,333.2,350.3
Saskatchewan,Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],8,10,10.1,10,10.4
Saskatchewan,Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",466.5,480.7,477.5,467.6,460.6
Saskatchewan,Chained (2007) dollars,"Architectural, engineering and related services [5413]",501.1,503,445.5,430.1,441.2
Saskatchewan,Chained (2007) dollars,"Other professional, scientific and technical services including scientific research and development [541B]  (45)",372.7,383.8,341.2,298.6,304.8
Saskatchewan,Chained (2007) dollars,Computer systems design and related services [5415],222.3,240.4,238.2,244.4,268.9
Saskatchewan,Chained (2007) dollars,"Advertising, public relations, and related services [5418]",42.4,45.9,46.5,44.3,46.1
Saskatchewan,Chained (2007) dollars,Administrative and support services [561],638.4,647.1,657.2,640.1,628.7
Saskatchewan,Chained (2007) dollars,Waste management and remediation services [562],86.8,100.9,105.2,105,100.5
Saskatchewan,Chained (2007) dollars,Universities [6113],968.7,981.4,1024.4,1063.1,1071.1
Saskatchewan,Chained (2007) dollars,Educational services (except universities) [611B]  (47),1858.3,1873.6,1905.6,1895.5,1933.6
Saskatchewan,Chained (2007) dollars,Health care [62X]  (49),3091.4,3142.4,3194.7,3280.3,3304.1
Saskatchewan,Chained (2007) dollars,Social assistance [624],290.2,290.3,303.5,323.7,335.7
Saskatchewan,Chained (2007) dollars,"Performing arts, spectator sports and related industries, and heritage institutions [71A]  (51)",206.7,186.7,188.6,189.1,194.3
Saskatchewan,Chained (2007) dollars,"Amusement, gambling and recreation industries [713]",187.2,177.2,175.9,180.2,174.5
Saskatchewan,Chained (2007) dollars,Accommodation services [721],405.5,390.4,379.5,373.8,383.8
Saskatchewan,Chained (2007) dollars,Food services and drinking places [722],627.5,644.6,644.9,657,639.4
Saskatchewan,Chained (2007) dollars,Repair and maintenance [811],493.9,504.2,489.9,458.2,465.8
Saskatchewan,Chained (2007) dollars,Personal services and private households [81A]  (55),233,240.3,243,244.1,250.6
Saskatchewan,Chained (2007) dollars,"Religious, grant-making, civic, and professional and similar organizations [813]",261.6,280.3,284.9,278.7,277.3
Saskatchewan,Chained (2007) dollars,Federal government public administration [911],867.2,896.2,913.3,919.5,905.5
Saskatchewan,Chained (2007) dollars,Provincial and territorial public administration [912],1008.7,985.6,990.7,993.8,1008.8
Saskatchewan,Chained (2007) dollars,"Local, municipal, regional and aboriginal public administration [91A]  (59)",1245.3,1271.5,1295.6,1310.4,1368.4
Alberta,Chained (2007) dollars,"Information and communication technology, manufacturing [T014]  (10)",132.4,201.5,440.7,439.7,593.8
Alberta,Chained (2007) dollars,"Information and communication technology, services [T015]  (11)",8379.4,9047.9,8988.9,8959.4,9171.6
Alberta,Chained (2007) dollars,Crop and animal production [11A]  (13),3443.1,3045.5,2892.3,3347,3405.8
Alberta,Chained (2007) dollars,Forestry and logging [113],392.1,429,444.1,436.4,449.8
Alberta,Chained (2007) dollars,"Fishing, hunting and trapping [114]",2,0.9,0.4,0.1,0.1
Alberta,Chained (2007) dollars,Support activities for agriculture and forestry [115],248.7,256.2,273.3,283.6,290.7
Alberta,Chained (2007) dollars,Oil and gas extraction [211],69799.4,77758.8,81026.6,81666.4,88076.7
Alberta,Chained (2007) dollars,Mining and quarrying (except oil and gas) [212],670.4,775.8,772,760.9,761.6
Alberta,Chained (2007) dollars,Support activities for mining and oil and gas extraction [213],8697.7,9570.4,5833.3,3987,6248.5
Alberta,Chained (2007) dollars,"Electric power generation, transmission and distribution [2211]",2545.2,2733.5,2505.3,2409,2559.8
Alberta,Chained (2007) dollars,"Natural gas distribution, water, sewage and other systems [221A]  (19)",1538.6,1589.1,1604.3,1539.6,1791.4
Alberta,Chained (2007) dollars,Residential building construction [23A]  (20),8275,9184.1,9025.6,7327.2,7599
Alberta,Chained (2007) dollars,Non-residential building construction [23B]  (20),3594.1,3552.9,3934.6,3691.4,3418.4
Alberta,Chained (2007) dollars,Engineering construction [23C]  (20),19437.7,19615.2,14338.2,11314.2,10871.8
Alberta,Chained (2007) dollars,Repair construction [23D]  (20),3204.2,3635.8,3578.9,3727.4,4086.1
Alberta,Chained (2007) dollars,Other activities of the construction industry [23E]  (20),733.1,775.4,647.1,523.6,507.1
Alberta,Chained (2007) dollars,Food manufacturing [311],2168.8,2247.8,2342,2422.1,2504.6
Alberta,Chained (2007) dollars,Beverage and tobacco product manufacturing [312],467.6,483.6,476.7,464.3,474.3
Alberta,Chained (2007) dollars,Textile and textile product mills [31A]  (23),31,35.2,30.7,27,33.1
Alberta,Chained (2007) dollars,Clothing and leather and allied product manufacturing [31B]  (24),22.4,19.5,14.9,12.3,12.7
Alberta,Chained (2007) dollars,Wood product manufacturing [321],1409.8,1354.6,1335.8,1323.1,1353.9
Alberta,Chained (2007) dollars,Paper manufacturing [322],497.2,552.6,603.7,612.7,632.4
Alberta,Chained (2007) dollars,Printing and related support activities [323],418.4,378.1,345.4,328.8,299
Alberta,Chained (2007) dollars,Petroleum and coal product manufacturing [324],1775.9,2016.3,1849.6,1890.3,2073.4
Alberta,Chained (2007) dollars,Chemical manufacturing [325],1983.6,1946.8,2016.5,2213.9,2166.5
Alberta,Chained (2007) dollars,Plastics and rubber products manufacturing [326],728.1,700.1,658.6,625.3,685.4
Alberta,Chained (2007) dollars,Non-metallic mineral product manufacturing [327],946.9,1023.8,979.7,855.4,870.4
Alberta,Chained (2007) dollars,Primary metal manufacturing [331],581.8,533.1,445,386.2,496.3
Alberta,Chained (2007) dollars,Fabricated metal product manufacturing [332],3050.8,3049.1,2643.6,2081.6,2268
Alberta,Chained (2007) dollars,Machinery manufacturing [333],3155.9,3277.2,2326.3,1473.2,2148.3
Alberta,Chained (2007) dollars,Computer and electronic product manufacturing [334],353.3,428.4,586.2,478.5,600.4
Alberta,Chained (2007) dollars,"Electrical equipment, appliance and component manufacturing [335]",172.2,178.7,184.6,173.1,183.5
Alberta,Chained (2007) dollars,Transportation equipment manufacturing [336],184.6,189.7,163.8,157.9,175
Alberta,Chained (2007) dollars,Furniture and related product manufacturing [337],257.7,257.3,257.1,245.6,247.1
Alberta,Chained (2007) dollars,Miscellaneous manufacturing [339],347.3,341.2,329.7,296,305.9
Alberta,Chained (2007) dollars,Farm product wholesaler-distributors [411],341.6,388.3,396.3,356.3,433.9
Alberta,Chained (2007) dollars,Petroleum product wholesaler-distributors [412],1833,1805.5,1577.9,1610.8,1719
Alberta,Chained (2007) dollars,"Food, beverage and tobacco wholesaler-distributors [413]",1187.7,1191.5,1183.3,1109.1,1127.9
Alberta,Chained (2007) dollars,Personal and household goods wholesaler-distributors [414],376.9,348.7,370.5,362.5,338
Alberta,Chained (2007) dollars,Motor vehicle and parts wholesaler-distributors [415],1027.3,1023.5,868.2,771.7,866
Alberta,Chained (2007) dollars,Building material and supplies wholesaler-distributors [416],2354.4,2521.6,2355.9,1961.4,2133.1
Alberta,Chained (2007) dollars,"Machinery, equipment and supplies wholesaler-distributors [417]",5706.1,5560.6,4654.2,4022.6,4602.3
Alberta,Chained (2007) dollars,Miscellaneous wholesaler-distributors [418],1407.4,1598.7,1716.4,1667.7,1847
Alberta,Chained (2007) dollars,"Wholesale electronic markets, and agents and brokers [419]",244,229.2,208.3,186.3,200.9
Alberta,Chained (2007) dollars,Motor vehicle and parts dealers [441],2608.3,2806.4,2555.3,2426.5,2740.6
Alberta,Chained (2007) dollars,Furniture and home furnishings stores [442],598.1,608.7,617.2,595.6,625.1
Alberta,Chained (2007) dollars,Electronics and appliance stores [443],621.2,656.8,618.4,590.6,680.3
Alberta,Chained (2007) dollars,Building material and garden equipment and supplies dealers [444],754.5,860.3,880.2,814.6,881.7
Alberta,Chained (2007) dollars,Food and beverage stores [445],2291.7,2311.3,2262.4,2225.8,2245.1
Alberta,Chained (2007) dollars,Health and personal care stores [446],924.3,1000.7,1075.9,1187.5,1229.9
Alberta,Chained (2007) dollars,Gasoline stations [447],1049.1,1047.8,1008.2,960.5,999.4
Alberta,Chained (2007) dollars,Clothing and clothing accessories stores [448],1100.3,1138.2,1103.3,1060.5,1122.7
Alberta,Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",447.7,502.3,502.2,503.5,532.3
Alberta,Chained (2007) dollars,General merchandise stores [452],1123.4,1170.8,1128.5,1078.1,1121.9
Alberta,Chained (2007) dollars,Miscellaneous store retailers [453],522.8,546.8,555.4,588.2,594
Alberta,Chained (2007) dollars,Non-store retailers [454],273.3,361.5,365.4,378.2,375.7
Alberta,Chained (2007) dollars,Air transportation [481],1032.5,1148.1,1237.5,1272.9,1401.7
Alberta,Chained (2007) dollars,Rail transportation [482],1179.6,1291.3,1272,1223.3,1340.3
Alberta,Chained (2007) dollars,Water transportation [483],1,1,1,0.9,1
Alberta,Chained (2007) dollars,Truck transportation [484],3741.7,4189,3987.2,3785.8,4103.8
Alberta,Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",869.9,904.1,907.1,857.6,849.5
Alberta,Chained (2007) dollars,Support activities for transportation [488],1169.1,1269.1,1242.1,1233.5,1338.1
Alberta,Chained (2007) dollars,Pipeline transportation [486],2399.4,2552.3,2718,2894.3,3061.6
Alberta,Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",702.4,697.1,657.5,626,629.7
Alberta,Chained (2007) dollars,Warehousing and storage [493],407.8,388.8,383.8,406.2,419.5
Alberta,Chained (2007) dollars,Publishing industries (except internet) [511],953.3,928.1,904.4,879.3,856.3
Alberta,Chained (2007) dollars,Motion picture and sound recording industries [512],151.2,170.6,178.6,172,168.8
Alberta,Chained (2007) dollars,Broadcasting (except internet) [515],407.3,370.3,348.4,328.9,302.5
Alberta,Chained (2007) dollars,Telecommunications [517],4596.2,4793.8,4836.4,4853.3,4879.5
Alberta,Chained (2007) dollars,"Data processing, hosting, and related services [518]",177.9,190,164.3,149.6,163.2
Alberta,Chained (2007) dollars,Other information services [519],226.1,262.8,301.2,291.7,282.9
Alberta,Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),6712.6,6957.3,7239.7,7502.7,7736.8
Alberta,Chained (2007) dollars,Non-depository credit intermediation [5222],561.1,597.5,615.6,665.2,688.4
Alberta,Chained (2007) dollars,Activities related to credit intermediation [5223],158.8,165.5,162.1,157.4,165.5
Alberta,Chained (2007) dollars,Insurance carriers and related activities [524],1911.6,1945.5,1978.7,2046.1,2086.9
Alberta,Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",1853.3,2028.9,2255.5,2434.5,2329.5
Alberta,Chained (2007) dollars,Real estate [531],24476.3,25502.2,26046.2,26757.4,27700.6
Alberta,Chained (2007) dollars,Rental and leasing services [532],3107.4,3672.6,3553.8,3460.1,3736.5
Alberta,Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],226.9,253,257.2,277.9,264.5
Alberta,Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",3042.7,3103.9,3052.9,3071.5,3116.7
Alberta,Chained (2007) dollars,"Architectural, engineering and related services [5413]",6424.2,7043.1,5886.5,5009.4,4722.5
Alberta,Chained (2007) dollars,"Other professional, scientific and technical services including scientific research and development [541B]  (45)",3748,3909.6,3576.9,3233.3,3353.7
Alberta,Chained (2007) dollars,Computer systems design and related services [5415],1980.2,2387.6,2400.9,2473.1,2567.2
Alberta,Chained (2007) dollars,"Advertising, public relations, and related services [5418]",247.8,263.4,270.5,264.1,260.4
Alberta,Chained (2007) dollars,Administrative and support services [561],5265.7,5548.8,5591.9,5340.9,5324.1
Alberta,Chained (2007) dollars,Waste management and remediation services [562],1290,1416.3,1363.8,1264.5,1245.2
Alberta,Chained (2007) dollars,Universities [6113],2873.4,2954.8,3086.1,3222.1,3235.8
Alberta,Chained (2007) dollars,Educational services (except universities) [611B]  (47),6672.4,6803.2,6976.1,7061.5,7192.3
Alberta,Chained (2007) dollars,Health care [62X]  (49),12236.5,12653.1,12974,13481.1,13779.3
Alberta,Chained (2007) dollars,Social assistance [624],1096.2,1128.2,1188.7,1269.5,1292.1
Alberta,Chained (2007) dollars,"Performing arts, spectator sports and related industries, and heritage institutions [71A]  (51)",448.1,555.2,573,570.1,580.4
Alberta,Chained (2007) dollars,"Amusement, gambling and recreation industries [713]",837.2,854.7,870,908.3,945
Alberta,Chained (2007) dollars,Accommodation services [721],2285.9,2356.7,2110.7,1990,2036
Alberta,Chained (2007) dollars,Food services and drinking places [722],3473.9,3776.9,3750.6,3681,3686.4
Alberta,Chained (2007) dollars,Repair and maintenance [811],3185.9,3169.6,3124.1,2794.5,2842.9
Alberta,Chained (2007) dollars,Personal services and private households [81A]  (55),1258.7,1315.1,1347.6,1370.1,1399.3
Alberta,Chained (2007) dollars,"Religious, grant-making, civic, and professional and similar organizations [813]",1171.6,1284.9,1250,1176.7,1118.9
Alberta,Chained (2007) dollars,Federal government public administration [911],2418.8,2385,2377.1,2417.3,2423.5
Alberta,Chained (2007) dollars,Provincial and territorial public administration [912],3316.2,3386.4,3392.5,3495.5,3569.5
Alberta,Chained (2007) dollars,"Local, municipal, regional and aboriginal public administration [91A]  (59)",5664.7,5858.6,6120,6235.6,6372.4
British Columbia (66),Chained (2007) dollars,"Information and communication technology, manufacturing [T014]  (10)",331.4,365.2,345.9,354.8,345.1
British Columbia (66),Chained (2007) dollars,"Information and communication technology, services [T015]  (11)",7950,8490.4,8678.8,9017.4,9463.1
British Columbia (66),Chained (2007) dollars,Crop and animal production [11A]  (13),1207.5,1155.2,1268.7,1273.4,1242.6
British Columbia (66),Chained (2007) dollars,Forestry and logging [113],1981.7,1948.8,2013.2,1985.4,1900.7
British Columbia (66),Chained (2007) dollars,"Fishing, hunting and trapping [114]",159.1,180.6,188.4,198.4,165.5
British Columbia (66),Chained (2007) dollars,Support activities for agriculture and forestry [115],675.1,707.1,762,791.5,787.7
British Columbia (66),Chained (2007) dollars,Oil and gas extraction [211],6410.4,6833.4,7197.2,8191.9,8216.7
British Columbia (66),Chained (2007) dollars,Mining and quarrying (except oil and gas) [212],3955.5,4295.3,4110.7,4103,3996
British Columbia (66),Chained (2007) dollars,Support activities for mining and oil and gas extraction [213],748.5,724.6,474.4,382.3,421.2
British Columbia (66),Chained (2007) dollars,"Electric power generation, transmission and distribution [2211]",2434.1,2432.7,2515.2,2641,2758.5
British Columbia (66),Chained (2007) dollars,"Natural gas distribution, water, sewage and other systems [221A]  (19)",1176.9,1224.6,1301.3,1286.4,1383
British Columbia (66),Chained (2007) dollars,Residential building construction [23A]  (20),6689.2,7324.2,8016.6,9277.7,9479.7
British Columbia (66),Chained (2007) dollars,Non-residential building construction [23B]  (20),2184.4,2673.6,2508.5,2550,2363.1
British Columbia (66),Chained (2007) dollars,Engineering construction [23C]  (20),4658.9,4866.9,4123,3227.4,4799.9
British Columbia (66),Chained (2007) dollars,Repair construction [23D]  (20),2856.1,2964.3,2960.1,3011.7,3173.9
British Columbia (66),Chained (2007) dollars,Other activities of the construction industry [23E]  (20),283,302.5,296.1,303.2,334.2
British Columbia (66),Chained (2007) dollars,Food manufacturing [311],1679.6,1731.4,1872.2,1952.8,2053.4
British Columbia (66),Chained (2007) dollars,Beverage and tobacco product manufacturing [312],634.5,696.7,771.7,870.9,931.8
British Columbia (66),Chained (2007) dollars,Textile and textile product mills [31A]  (23),71.9,87.7,86.9,90.6,94.8
British Columbia (66),Chained (2007) dollars,Clothing and leather and allied product manufacturing [31B]  (24),84.6,99.1,98.3,83.7,74
British Columbia (66),Chained (2007) dollars,Wood product manufacturing [321],3201.9,3236.8,3348.6,3538.6,3463.5
British Columbia (66),Chained (2007) dollars,Paper manufacturing [322],1081,1251.5,1232.1,1164.4,1172.4
British Columbia (66),Chained (2007) dollars,Printing and related support activities [323],302.1,308.3,301,304.7,297.1
British Columbia (66),Chained (2007) dollars,Petroleum and coal product manufacturing [324],305.1,348.2,332.5,336.9,384.3
British Columbia (66),Chained (2007) dollars,Chemical manufacturing [325],507.1,590.3,664.1,688.5,720.4
British Columbia (66),Chained (2007) dollars,Plastics and rubber products manufacturing [326],466.3,480.6,489.5,512.1,546.7
British Columbia (66),Chained (2007) dollars,Non-metallic mineral product manufacturing [327],551.1,577.1,589.2,606.3,661.2
British Columbia (66),Chained (2007) dollars,Primary metal manufacturing [331],868.1,873.3,876.6,1586.2,1742.2
British Columbia (66),Chained (2007) dollars,Fabricated metal product manufacturing [332],960,1024.9,1010.8,981.4,1025
British Columbia (66),Chained (2007) dollars,Machinery manufacturing [333],950.5,980,933.1,899.9,1025.3
British Columbia (66),Chained (2007) dollars,Computer and electronic product manufacturing [334],649.6,666.7,657.6,657.4,638
British Columbia (66),Chained (2007) dollars,"Electrical equipment, appliance and component manufacturing [335]",309.4,323,313.2,347.9,408.6
British Columbia (66),Chained (2007) dollars,Transportation equipment manufacturing [336],631.4,661.8,616.7,605.1,647.9
British Columbia (66),Chained (2007) dollars,Furniture and related product manufacturing [337],348,381.7,438.6,454.3,470.3
British Columbia (66),Chained (2007) dollars,Miscellaneous manufacturing [339],474.8,479,502.6,540.9,603.4
British Columbia (66),Chained (2007) dollars,Farm product wholesaler-distributors [411],55.3,50.3,47.9,47.8,50.6
British Columbia (66),Chained (2007) dollars,Petroleum product wholesaler-distributors [412],160.4,157.2,163.1,178.3,185.4
British Columbia (66),Chained (2007) dollars,"Food, beverage and tobacco wholesaler-distributors [413]",1115.3,1077.3,1135.5,1205.5,1291.1
British Columbia (66),Chained (2007) dollars,Personal and household goods wholesaler-distributors [414],875.7,961.4,1033.8,1028.6,1149.8
British Columbia (66),Chained (2007) dollars,Motor vehicle and parts wholesaler-distributors [415],642.4,682.6,707.4,711.4,778.6
British Columbia (66),Chained (2007) dollars,Building material and supplies wholesaler-distributors [416],2097.4,2130.4,2217.6,2468,2599.1
British Columbia (66),Chained (2007) dollars,"Machinery, equipment and supplies wholesaler-distributors [417]",2454,2536.1,2507.4,2569.7,2942.5
British Columbia (66),Chained (2007) dollars,Miscellaneous wholesaler-distributors [418],837,915.2,981.5,1048.5,1055.4
British Columbia (66),Chained (2007) dollars,"Wholesale electronic markets, and agents and brokers [419]",379.7,374.1,386.7,400.8,428.9
British Columbia (66),Chained (2007) dollars,Motor vehicle and parts dealers [441],1895.8,1872.9,2032.2,2153.8,2388.8
British Columbia (66),Chained (2007) dollars,Furniture and home furnishings stores [442],444.7,451.5,493.2,530.7,550.7
British Columbia (66),Chained (2007) dollars,Electronics and appliance stores [443],627.1,594.6,619,664.9,692.6
British Columbia (66),Chained (2007) dollars,Building material and garden equipment and supplies dealers [444],847,880.2,1054.6,1152.3,1279.3
British Columbia (66),Chained (2007) dollars,Food and beverage stores [445],2654.1,2667.3,2781.5,2858.5,2976.6
British Columbia (66),Chained (2007) dollars,Health and personal care stores [446],1066.6,1079.8,1144.8,1290.8,1408.9
British Columbia (66),Chained (2007) dollars,Gasoline stations [447],1038.3,1106.6,1168.9,1249.7,1326.9
British Columbia (66),Chained (2007) dollars,Clothing and clothing accessories stores [448],1077.1,1140.8,1275.4,1367.8,1412.3
British Columbia (66),Chained (2007) dollars,"Sporting goods, hobby, book and music stores [451]",418.7,455.8,482.1,505.4,510.2
British Columbia (66),Chained (2007) dollars,General merchandise stores [452],1001.5,971.4,964.3,965.9,1004.4
British Columbia (66),Chained (2007) dollars,Miscellaneous store retailers [453],511.2,474.6,477.6,523.4,548.1
British Columbia (66),Chained (2007) dollars,Non-store retailers [454],303.4,331.6,445.4,422.4,442.8
British Columbia (66),Chained (2007) dollars,Air transportation [481],1403.6,1608.2,1816.8,2043.1,2300
British Columbia (66),Chained (2007) dollars,Rail transportation [482],1500.4,1627.6,1603.3,1546.7,1690.5
British Columbia (66),Chained (2007) dollars,Water transportation [483],608.7,594.9,635,649.3,696.9
British Columbia (66),Chained (2007) dollars,Truck transportation [484],1991.3,2139.9,2242.8,2372.5,2549.3
British Columbia (66),Chained (2007) dollars,"Transit, ground passenger and scenic and sightseeing transportation [48Z]  (31)",1492.5,1411.9,1443.3,1492.1,1587.5
British Columbia (66),Chained (2007) dollars,Support activities for transportation [488],2444.7,2612.4,2748.8,2986.7,3236.2
British Columbia (66),Chained (2007) dollars,Pipeline transportation [486],618.5,660.7,683,743.3,774.2
British Columbia (66),Chained (2007) dollars,"Postal service, couriers and messengers [49A]  (34)",690.3,692.1,690.7,667.8,669.4
British Columbia (66),Chained (2007) dollars,Warehousing and storage [493],382.5,424.9,422.8,482.3,485
British Columbia (66),Chained (2007) dollars,Publishing industries (except internet) [511],1672.3,1754.1,1677.8,1661.1,1597.7
British Columbia (66),Chained (2007) dollars,Motion picture and sound recording industries [512],434.8,595.9,680.7,761.4,822.5
British Columbia (66),Chained (2007) dollars,Broadcasting (except internet) [515],244.6,224.8,220.3,214.3,215.9
British Columbia (66),Chained (2007) dollars,Telecommunications [517],3986.4,4009,4019,4030.3,4055.1
British Columbia (66),Chained (2007) dollars,"Data processing, hosting, and related services [518]",182.9,208.4,185.8,173,188.6
British Columbia (66),Chained (2007) dollars,Other information services [519],277.5,319.9,333.1,362.1,337.1
British Columbia (66),Chained (2007) dollars,Depository credit intermediation and monetary authorities [52B]  (37),6275.1,6438.8,6821.1,7081.6,7313.1
British Columbia (66),Chained (2007) dollars,Non-depository credit intermediation [5222],517.8,518,570.5,620.1,676.8
British Columbia (66),Chained (2007) dollars,Activities related to credit intermediation [5223],198.8,215.1,231,234.3,240.9
British Columbia (66),Chained (2007) dollars,Insurance carriers and related activities [524],2278.3,2209,2193.8,2282.7,2369.8
British Columbia (66),Chained (2007) dollars,"Financial investment services, funds and other financial vehicles [52A]  (39)",2046.4,2235.6,2467.9,2601.6,2691.3
British Columbia (66),Chained (2007) dollars,Real estate [531],33562,34974,36691.7,38150.5,39344
British Columbia (66),Chained (2007) dollars,Rental and leasing services [532],1310.1,1296.7,1415.8,1524.1,1601.4
British Columbia (66),Chained (2007) dollars,Lessors of non-financial intangible assets (except copyrighted works) [533],221.4,216.5,232.1,248.5,244.2
British Columbia (66),Chained (2007) dollars,"Legal, accounting and related services [541A]  (44)",2970.6,3006,3228.2,3398.3,3451.6
British Columbia (66),Chained (2007) dollars,"Architectural, engineering and related services [5413]",3332.1,3612.4,3680.9,3697.7,3719
British Columbia (66),Chained (2007) dollars,"Other professional, scientific and technical services including scientific research and development [541B]  (45)",3061.1,3155.6,3245.3,3396,3500.3
British Columbia (66),Chained (2007) dollars,Computer systems design and related services [5415],1807.8,2100.2,2298.3,2568.9,2892.8
British Columbia (66),Chained (2007) dollars,"Advertising, public relations, and related services [5418]",368.1,394.4,416.2,432.2,410.9
British Columbia (66),Chained (2007) dollars,Administrative and support services [561],3856.9,3995.3,4051.4,4046.7,4010.7
British Columbia (66),Chained (2007) dollars,Waste management and remediation services [562],599.6,645,681.4,685.7,667.1
British Columbia (66),Chained (2007) dollars,Universities [6113],3591.9,3684.1,3758.5,3927,4015
British Columbia (66),Chained (2007) dollars,Educational services (except universities) [611B]  (47),7235.4,6912,7614.5,7680.6,7791.2
British Columbia (66),Chained (2007) dollars,Health care [62X]  (49),12039.1,12204.7,12406.7,12657.9,12842.3
British Columbia (66),Chained (2007) dollars,Social assistance [624],1185.4,1225,1280.9,1361.4,1443.1
British Columbia (66),Chained (2007) dollars,"Performing arts, spectator sports and related industries, and heritage institutions [71A]  (51)",632.6,714.2,742.1,760.1,786.4
British Columbia (66),Chained (2007) dollars,"Amusement, gambling and recreation industries [713]",1182.6,1212.7,1287.7,1398.2,1452
British Columbia (66),Chained (2007) dollars,Accommodation services [721],2093,2177.2,2158.8,2130,2177.1
British Columbia (66),Chained (2007) dollars,Food services and drinking places [722],3216.5,3504.3,3675.2,3902.8,4104
British Columbia (66),Chained (2007) dollars,Repair and maintenance [811],1479.3,1548.3,1603.4,1632.8,1682.2
British Columbia (66),Chained (2007) dollars,Personal services and private households [81A]  (55),1470.8,1498.5,1518.2,1535.6,1578.7
British Columbia (66),Chained (2007) dollars,"Religious, grant-making, civic, and professional and similar organizations [813]",1403,1449.1,1463.8,1423.5,1423.7
British Columbia (66),Chained (2007) dollars,Federal government public administration [911],3647.7,3611.2,3667.3,3715.2,3690.7
British Columbia (66),Chained (2007) dollars,Provincial and territorial public administration [912],3167.7,3102,3127.1,3173.9,3233.1
